location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,horsepower
Tunis,a day ago,230000,Noir,48500,Avec kilométrage,1.8L,2008,Automatique,Mercedes-Benz,Classe C Coupe,Berline,Essence,11
Ariana,3 days ago,153.000,Noir,59000,Avec kilométrage,2.0L,2012,Automatique,Kia,Sportage,4 x 4,Essence,11
Sfax,3 days ago,42000,Orange,41500,Nouveau,<1.0L,2022,Manuelle,Kia,Picanto,Berline,Essence,4
Tunis,4 days ago,46000,Blanc,139000,Avec kilométrage,1.5L,2020,Automatique,BMW,Serie 1,Berline,Essence,8
La Manouba,5 days ago,75000,Noir,45000,Avec kilométrage,1.5L,2021,Automatique,MG,ZS,4 x 4,Essence,7
Sousse,8 days ago,204000,Bleu,52500,Avec kilométrage,2.0L,2011,Manuelle,BMW,Serie 3 GT,Berline,Diesel,6
Ben Arous,8 days ago,60000,Bleu,48000,Avec kilométrage,1.5L,2021,Automatique,MG,3,Compacte,Essence,7
Tunis,9 days ago,51000,Blanc,69000,Avec kilométrage,1.2L,2021,Manuelle,Peugeot,2008,Autres,Essence,6
Tunis,9 days ago,46000,Noir,62000,Avec kilométrage,<1.0L,2021,Manuelle,Seat,Ibiza,Compacte,Essence,4
Sfax,11 days ago,3700,Noir,78000,Nouveau,1.4L,2023,Automatique,Kia,Rio,Compacte,Essence,6
Kairouan,11 days ago,120000,Noir,78000,Nouveau,1.6L,2018,Automatique,BMW,Serie 3,Berline,Essence,7
Kairouan,11 days ago,170000,Noir,36000,Nouveau,2.0L,2013,Manuelle,Volkswagen,Jetta,Berline,Essence,8
Kairouan,11 days ago,106000,Noir,148000,Nouveau,2.0L,2018,Automatique,BMW,Serie 5,Berline,Essence,10
Kairouan,11 days ago,70000,Blanc,48500,Nouveau,<1.0L,2021,Manuelle,Seat,Ibiza,Compacte,Essence,4
Kairouan,11 days ago,140000,Blanc,63500,Nouveau,1.4L,2018,Manuelle,Volkswagen,Passat,Berline,Essence,8
Kairouan,11 days ago,70000,Gris,60000,Nouveau,<1.0L,2021,Manuelle,Dacia,Sandero,Compacte,Essence,6
Kairouan,11 days ago,80000,Noir,65000,Nouveau,1.2L,2020,Manuelle,Kia,Rio,Berline,Essence,5
Kairouan,11 days ago,90000,Noir,38000,Nouveau,1.2L,2019,Manuelle,Suzuki,Swift,Berline,Essence,5
Kairouan,11 days ago,120000,Noir,56000,Nouveau,1.2L,2019,Automatique,Peugeot,2008,Autres,Essence,6
Sfax,13 days ago,147,Blanc,77000,Nouveau,1.8L,2016,Automatique,Mercedes-Benz,Classe A,Autres,Essence,6
Tunis,15 days ago,123000,Gris,39000,Avec kilométrage,1.6L,2017,Manuelle,Peugeot,308,Berline,Essence,6
Tunis,16 days ago,116000,Noir,70000,Avec kilométrage,1.2L,2019,Automatique,Peugeot,3008,Autres,Essence,7
Tunis,18 days ago,300000,Gris,22000,Avec kilométrage,1.9L,2001,Manuelle,Volkswagen,Jetta,Berline,Diesel,06
Monastir,19 days ago,170000,Blanc,42000,Avec kilométrage,2.0L,2015,Manuelle,Volkswagen,Transporter,Monospace,Diesel,8
Ariana,20 days ago,213,Blanc,41500,Avec kilométrage,1.6L,2015,Automatique,Nissan,Juke,Autres,Essence,7
Sousse,20 days ago,146000,Noir,48000,Avec kilométrage,1.2L,2015,Automatique,Seat,Leon,Compacte,Essence,6
Tunis,21 days ago,200000,Noir,45000,Avec kilométrage,1.2L,2013,Manuelle,Volkswagen,Golf,Berline,Essence,5
Ben Arous,21 days ago,215000,Gris,36500,Avec kilométrage,1.2L,2015,Manuelle,Kia,Rio,Berline,Essence,5
Nabeul,21 days ago,332000,Bleu,34000,Avec kilométrage,1.6L,2010,Manuelle,Volkswagen,Passat,Berline,Essence,7
Tunis,a month ago,92000,Blanc,48000,Avec kilométrage,1.2L,2015,Automatique,Renault,Capture,Berline,Essence,6
Tunis,a month ago,118000,Gris,41000,Avec kilométrage,1.2L,2016,Manuelle,Peugeot,2008,Autres,Essence,5
Ben Arous,a month ago,250000,Rouge,55000,Avec kilométrage,2.0L,2016,Automatique,Mazda,6,Berline,Essence,9
Nabeul,a month ago,180000,Noir,44000,Nouveau,1.5L,2017,Manuelle,Ford,Fusion,Berline,Essence,9
Tunis,2 months ago,82000,Noir,69900,Avec kilométrage,1.7L,2018,Automatique,BMW,Serie 3,Berline,Essence,7
Mahdia,2 months ago,76,Gris,11111,Avec kilométrage,1.2L,2014,Manuelle,lancia,Ypsilon,Autres,Essence,4
Tunis,10 minutes ago,8000,Autre,184000,Nouveau,1.6L,2024,Automatique,Mercedes-Benz,Classe A,Berline,Hybride essence,8
Ariana,22 minutes ago,90000,Noir,45000,Avec kilométrage,1.5L,2013,Manuelle,Dacia,Duster,Compacte,Essence,7
Nabeul,2 hours ago,65000,Noir,52000,Nouveau,1.2L,2020,Automatique,Peugeot,2008,Berline,Essence,6
Ben Arous,2 hours ago,220,Blanc,29500,Avec kilométrage,1.6L,2011,Manuelle,Volvo,S40,Berline,Essence,6
Sousse,2 hours ago,48000,Gris,68000,Avec kilométrage,1.2L,2022,Manuelle,Kia,Rio,Compacte,Essence,5
Nabeul,3 hours ago,41000,Bleu,115000,Nouveau,1.5L,2020,Automatique,BMW,X3,Berline,Essence,8
Tunis,3 hours ago,200000,Blanc,21500,Avec kilométrage,1.2L,2008,Manuelle,Citroen,Berlingo,Utilitaire,Diesel,7
Tunis,7 minutes ago,40000,Autre,153000,Avec kilométrage,2.0L,2023,Automatique,Kia,Sportage,4 x 4,Hybride essence,10
Ariana,4 hours ago,38000,Rouge,58000,Avec kilométrage,1.5L,2017,Manuelle,Mazda,3,Berline,Essence,6
Tunis,4 hours ago,116,Gris,28500,Avec kilométrage,1.4L,2013,Manuelle,Citroen,C3,Compacte,Essence,5
Ben Arous,4 hours ago,48000,Noir,95000,Avec kilométrage,1.6L,2020,Manuelle,Volkswagen,T-ROC,Autres,Diesel,6
Ben Arous,4 hours ago,275000,Gris,26500,Avec kilométrage,2.0L,2002,Manuelle,Toyota,Previa,Monospace,Diesel,8
Sfax,5 hours ago,42000,Orange,41500,Nouveau,<1.0L,2022,Manuelle,Kia,Picanto,Berline,Essence,4
Ben Arous,5 hours ago,106000,Gris,32500,Avec kilométrage,1.2L,2017,Manuelle,Citroen,C3,Compacte,Essence,4
Sousse,5 hours ago,84000,Noir,120000,Avec kilométrage,1.6L,2019,Automatique,Citroen,DS23,4 x 4,Essence,9
Sfax,5 hours ago,56000,Autre,48000,Avec kilométrage,1.2L,2021,Automatique,Hyundai,Grand i10,Compacte,Essence,5
Ben Arous,5 hours ago,1111,Noir,26600,Avec kilométrage,1.2L,2011,Manuelle,Ford,Ka,Berline,Essence,4
Ben Arous,6 hours ago,63000,Rouge,33500,Avec kilométrage,1.2L,2020,Manuelle,Mahindra,Hover,Autres,Essence,5
Tunis,6 hours ago,285000,Noir,49500,Avec kilométrage,2.2L,2006,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,10
Sfax,6 hours ago,41000,Noir,69000,Avec kilométrage,1.6L,2023,Automatique,Chery,Tiggo,4 x 4,Essence,11
Tunis,6 hours ago,1111,Noir,26600,Avec kilométrage,1.2L,2011,Manuelle,Ford,Ka,Berline,Essence,4
Nabeul,6 hours ago,189000,Rouge,23500,Avec kilométrage,1.9L,2011,Manuelle,Peugeot,Partner,Utilitaire,Diesel,7
Ariana,6 hours ago,470000,Blanc,44000,Avec kilométrage,2.0L,2015,Manuelle,Isuzu,D-MAX,Pick up,Diesel,8
La Manouba,6 hours ago,280000,Bleu,67500,Avec kilométrage,3.0L,2008,Automatique,BMW,X5,4 x 4,Diesel,15
La Manouba,6 hours ago,180000,Gris,56900,Avec kilométrage,1.2L,2018,Automatique,Volkswagen,Golf,Compacte,Essence,6
Tunis,6 hours ago,150,Noir,25400,Avec kilométrage,1.1L,2011,Manuelle,Ford,Fiesta,Berline,Essence,5
Sfax,6 hours ago,203000,Gris,17500,Avec kilométrage,<1.0L,2001,Manuelle,Volkswagen,Polo,Berline,Essence,4
Nabeul,6 hours ago,226000,Noir,32000,Avec kilométrage,1.3L,2015,Manuelle,Kia,Rio,Autres,Essence,5
Nabeul,7 hours ago,106000,Gris,36000,Avec kilométrage,1.2L,2017,Manuelle,Citroen,C3,Utilitaire,Essence,3
Bizerte,7 hours ago,152000,Marron,26700,Avec kilométrage,1.2L,2011,Manuelle,Citroen,C3,Berline,Essence,4
Tunis,a month ago,118000,Gris,41000,Avec kilométrage,1.2L,2016,Manuelle,Peugeot,2008,Autres,Essence,5
